time,imbalance gamma=0J,imbalance gamma=0.1J,imbalance gamma=0.5J,imbalance gamma=1J,imbalance gamma=2J,imbalance gamma=5J
1.47,-0.11952171786645163,-0.07702946757277912,0.05124426260338936,0.15232656333115985,0.2625495178466781,0.37918294019033083
1.48,-0.12309653102132792,-0.08031491602702917,0.048744555266628915,0.15036877493045456,0.26114972145734444,0.37841760860415574
1.49,-0.12659819980226072,-0.08353744170164526,0.046280430077387566,0.14843000840135132,0.25975722083820696,0.3776538217263913
1.5,-0.13002597745064648,-0.08669652924297676,0.04385195877806963,0.1465102214606825,0.2583719863090043,0.37689157644086024
1.51,-0.13337914293786354,-0.08979168584358746,0.041459201853108314,0.14460936799334684,0.256993987909161,0.37613086963750697
1.52,-0.1366570011586395,-0.09282244130174769,0.03910220867475348,0.14272739816651067,0.2556231954189467,0.37537169821237726
1.53,-0.13985888311530634,-0.0957883480730651,0.03678101765045409,0.1408642585419845,0.25425957837984486,0.374614059067633
1.54,-0.14298414609289295,-0.09868898131427595,0.03449565637181782,0.13901989218694052,0.2529031061132638,0.3738579491115799
1.55,-0.14603217382499767,-0.10152393891920136,0.03224614176489173,0.13719423878221218,0.2515537477390454,0.3731033652586536
1.56,-0.14900237665039728,-0.1042928415468965,0.03003248024182417,0.13538723472914607,0.2502114721932367,0.3723503044294124
1.57,-0.15189419166034424,-0.10699533264200521,0.027854667853777916,0.13359881325490772,0.24887624824428867,0.3715987635505331
1.58,-0.1547070828365105,-0.10963107844734941,0.025712690444830724,0.13182890451613405,0.2475480445093272,0.37084873955482034
1.59,-0.15744054117954023,-0.11219976800877662,0.02360652380707127,0.13007743570027322,0.24622682946948493,0.3701002293812061
1.6,-0.16009408482817863,-0.11470111317229387,0.021536133836823054,0.1283443311252704,0.2449125714839719,0.3693532299747363
1.61,-0.16266725916893837,-0.1171348485735213,0.019501476691771612,0.1266295123379246,0.24360523880441828,0.3686077382865621
1.62,-0.16515963693628266,-0.11950073161949644,0.017502498949047644,0.1249328982106124,0.24230479958786333,0.3678637512739411
1.6300000000000001,-0.16757081830329462,-0.12179854246286673,0.015539137764126486,0.12325440503574009,0.24101122190918534,0.3671212659002246
1.6400000000000001,-0.16990043096281585,-0.12402808396851113,0.013611321030231664,0.12159394661851933,0.23972447377359837,0.36638027913485666
1.6500000000000001,-0.17214813019902947,-0.1261891816726287,0.011718967538662596,0.11995143436853395,0.2384445231275251,0.365640787953363
1.6600000000000001,-0.1743135989494818,-0.12828168373434146,0.009861987139726412,0.11832677738970941,0.2371713378698738,0.3649027893373462
1.67,-0.17639654785752265,-0.13030546087985398,0.00804028090423713,0.11671988256796094,0.23590488586240752,0.36416628027447273
1.68,-0.17839671531516066,-0.13226040633922387,0.006253741285551712,0.11513065465735264,0.2346451349392941,0.3634312577584582
1.69,-0.18031386749632997,-0.1341464357757885,0.00450225228197597,0.11355899636506446,0.23339205291706985,0.3626977187890631
1.7,-0.18214779838056216,-0.13596348720830614,0.0027856895992736702,0.11200480843479255,0.23214560760300018,0.3619656603720894
1.71,-0.18389832976707293,-0.13771152092586372,0.0011039208138653883,0.11046798972771409,0.23090576680403016,0.3612350795193619
1.72,-0.18556531127926187,-0.13939051939561517,-0.0005431944638936364,0.10894843730235278,0.22967249833472653,0.3605059732487391
1.73,-0.1871486203596377,-0.14100048716340197,-0.002155804426161373,0.10744604649317716,0.2284457700248222,0.3597783385840695
1.74,-0.18864816225518422,-0.14254145074732907,-0.00373406490391791,0.10596071098753956,0.2272255497269276,0.3590521725551896
1.75,-0.19006386999317582,-0.14401345852435304,-0.005278139203432405,0.10449232290022765,0.22601180532291792,0.35832747219792216
1.76,-0.1913957043474691,-0.1454165806099533,-0.006788197942693555,0.10304077284733451,0.22480450473113064,0.35760423455406176
1.77,-0.1926436537952872,-0.14675090873095792,-0.008264418887686057,0.1016059500187364,0.2236036159120583,0.3568824566713764
1.78,-0.19380773446452526,-0.14801655609158962,-0.009706986788865777,0.10018774224855234,0.22240910687471396,0.35616213560360543
1.79,-0.19488799007160917,-0.1492136572328123,-0.011116093217708088,0.09878603608386893,0.2212209456820037,0.35544326841040386
1.8,-0.19588449184993595,-0.1503423678850495,-0.01249193640353716,0.09740071685273323,0.22003910045611114,0.3547258521573474
1.81,-0.19679733846892783,-0.15140286481435317,-0.013834721070952228,0.09603166873070437,0.218863539383669,0.3540098839159264
1.82,-0.1976266559437545,-0.15239534566210583,-0.01514465827713665,0.09467877480499964,0.21769423072026062,0.35329536076354595
1.83,-0.198372597535746,-0.15332002877833392,-0.016421965249698,0.09334191713790824,0.21653114279532706,0.3525822797834906
1.84,-0.19903534364355924,-0.1541771530487181,-0.017666865224824968,0.09202097682914095,0.21537424401597152,0.35187063806497765
1.85,-0.19961510168513452,-0.15496697771538587,-0.018879587285915076,0.09071583407623988,0.21422350287151143,0.3511604327030897
